id_transaccion,timestamp,monto,categoria_comercio,tipo_tarjeta,score_dispositivo,intentos_fallidos_24h,pais_coincide,target
TX_033554,2026-02-25 10:21:49,40.23,Viajes,Crédito,82.1,1,1,0
TX_009428,2026-01-10 16:12:56,10.22,Servicios,Crédito,86.3,0,1,0
TX_000200,2026-02-19 04:40:35,439.19,Entretenimiento,Débito,86.9,0,1,0
TX_012448,2026-02-17 00:45:44,12.37,Servicios,Crédito,92.5,1,1,0
TX_039490,2026-01-07 21:30:33,43.09,Retail,Débito,90.0,0,1,0
TX_042725,2026-03-23 10:16:48,12.1,Servicios,Crédito,69.1,0,1,0
TX_010823,2026-01-31 10:16:26,11.75,Electrónica,Crédito,71.0,0,1,0
TX_049499,2026-03-21 11:16:02,26.01,Retail,Débito,87.3,0,1,0
TX_004145,2026-01-14 21:13:05,37.5,Retail,Crédito,96.9,0,1,0
TX_036959,2026-01-27 00:52:38,161.41,Servicios,Crédito,82.8,0,1,0
TX_043107,2026-02-15 23:46:58,24.72,Entretenimiento,Crédito,87.4,0,1,0
TX_038696,2026-03-11 12:16:50,106.04,Servicios,Débito,86.4,0,1,0
TX_006189,2026-02-14 00:09:08,37.72,Viajes,Crédito,75.0,0,1,0
TX_001415,2026-03-28 23:10:45,38.73,Servicios,Crédito,100.0,0,1,0
TX_018472,2026-01-04 09:45:09,38.9,Electrónica,Débito,88.6,1,1,0
TX_029283,2026-01-16 17:22:59,43.8,Servicios,Crédito,90.4,0,1,0
TX_015178,2026-03-15 03:30:30,127.27,Entretenimiento,Crédito,79.0,0,0,0
TX_034305,2026-03-08 14:20:28,7.91,Electrónica,Débito,90.0,0,1,0
TX_012610,2026-02-07 03:37:12,95.4,Servicios,Crédito,87.1,0,1,0
TX_012145,2026-01-18 21:56:29,79.81,Servicios,Crédito,,0,1,0
TX_006114,2026-03-20 06:31:11,315.5,Retail,Débito,73.1,0,1,0
TX_015909,2026-01-16 13:23:04,130.13,Servicios,Crédito,90.0,0,1,0
TX_000822,2026-01-30 21:27:06,69.25,Viajes,Débito,84.6,0,1,0
TX_015119,2026-02-20 00:25:10,27.83,Entretenimiento,Crédito,87.8,0,1,0
TX_013467,2026-03-04 23:05:42,24.82,Entretenimiento,Crédito,84.4,0,1,0
TX_026498,2026-02-27 10:10:06,198.02,Retail,Crédito,97.5,0,1,0
TX_042112,2026-02-20 18:51:36,14.26,Servicios,Débito,96.8,0,1,0
TX_030189,2026-02-18 03:26:22,24.51,Retail,Crédito,100.0,0,1,0
TX_037238,2026-01-05 09:17:07,63.73,Electrónica,Débito,93.5,0,1,0
TX_033110,2026-01-01 12:46:10,175.95,Entretenimiento,Débito,85.8,0,1,0
TX_036481,2026-02-04 18:33:56,93.37,Retail,Crédito,68.5,0,1,0
TX_024149,2026-01-08 06:51:52,86.41,Servicios,Débito,98.2,0,1,0
TX_005504,2026-03-20 14:27:03,17.8,Viajes,Crédito,86.2,1,1,0
TX_003919,2026-01-18 17:29:01,151.66,Entretenimiento,Débito,92.9,1,1,0
TX_038479,2026-01-31 17:12:37,95.35,Retail,Débito,79.3,0,1,0
TX_021124,2026-02-23 20:36:31,104.0,Retail,Crédito,86.6,0,1,0
TX_049718,2026-02-13 20:53:40,104.48,Electrónica,Crédito,90.6,0,1,0
TX_042295,2026-01-03 05:09:42,18.83,Viajes,Débito,85.1,0,1,0
TX_047610,2026-03-18 04:36:28,15.55,Entretenimiento,Crédito,72.4,0,1,0
TX_011077,2026-03-31 22:55:47,21.0,Entretenimiento,Crédito,96.3,1,1,0
TX_041515,2026-02-01 15:34:47,26.97,Electrónica,Débito,85.2,0,1,0
TX_022063,2026-01-16 02:54:35,18.08,Viajes,Crédito,76.8,0,1,0
TX_009414,2026-01-09 08:00:06,29.63,Electrónica,Crédito,73.6,0,0,0
TX_038341,2026-02-19 23:52:23,23.5,Servicios,Crédito,75.0,0,1,0
TX_030264,2026-01-15 02:14:28,15.81,Retail,Crédito,96.9,0,1,0
TX_041253,2026-01-19 20:19:14,15.31,Retail,Crédito,86.4,0,1,0
TX_014645,2026-01-11 04:55:06,87.06,Retail,Crédito,100.0,0,1,0
TX_026336,2026-01-22 04:09:51,80.88,Electrónica,Crédito,83.4,0,1,0
TX_028103,2026-01-22 02:18:36,9.47,Servicios,Crédito,89.7,0,1,0
TX_017524,2026-02-11 09:43:52,53.94,Viajes,Débito,89.7,0,1,0
TX_024713,2026-02-14 07:25:30,95.55,Servicios,Crédito,94.0,0,1,0
TX_040486,2026-03-20 13:10:17,8.04,Servicios,Crédito,93.7,0,1,0
TX_003851,2026-01-10 17:06:20,37.45,Entretenimiento,Crédito,97.7,1,1,0
TX_040041,2026-02-28 02:26:10,62.44,Servicios,Débito,88.1,1,1,0
TX_015268,2026-02-11 02:20:05,23.32,Servicios,Crédito,83.7,0,1,0
TX_049147,2026-03-27 03:07:13,5.65,Retail,Crédito,81.0,0,1,0
TX_030002,2026-01-29 05:40:25,49.98,Retail,Crédito,87.0,0,1,0
TX_045927,2026-01-17 21:38:36,70.81,Servicios,Débito,85.6,0,1,0
TX_043825,2026-01-07 01:38:35,28.12,Retail,Débito,100.0,0,1,0
TX_017241,2026-01-04 19:18:44,28.02,Retail,Débito,82.4,0,1,0
TX_004893,2026-01-21 10:59:36,114.6,Electrónica,Crédito,87.8,0,1,0
TX_000726,2026-03-23 07:34:40,236.42,Retail,Débito,87.9,0,1,0
TX_022950,2026-01-29 17:23:50,18.14,Retail,Débito,75.0,1,1,0
TX_034658,2026-03-07 22:57:10,67.26,Electrónica,Crédito,98.5,0,0,0
TX_037214,2026-02-22 16:40:49,50.84,Retail,Crédito,88.2,0,1,0
TX_020305,2026-03-07 11:12:26,27.61,Electrónica,Crédito,84.1,0,1,0
TX_015270,2026-01-10 18:20:35,18.42,Retail,Crédito,79.8,1,0,0
TX_022368,2026-03-02 07:31:54,94.05,Retail,Crédito,91.2,0,1,0
TX_042685,2026-01-07 14:03:45,349.27,Entretenimiento,Débito,,0,0,0
TX_046735,2026-03-24 20:15:41,92.45,Electrónica,Débito,78.4,0,1,0
TX_011733,2026-02-16 04:40:55,62.73,Electrónica,Crédito,88.7,0,1,0
TX_018620,2026-02-09 06:55:23,111.83,Retail,Crédito,71.4,0,0,0
TX_048493,2026-02-12 08:39:18,79.44,Electrónica,Débito,80.3,0,1,0
TX_026804,2026-01-17 13:23:36,11.87,Servicios,Débito,82.3,0,0,0
TX_044306,2026-01-30 10:31:34,89.07,Retail,Crédito,,0,1,0
TX_047523,2026-03-28 09:00:48,132.19,Viajes,Débito,79.3,0,1,0
TX_032208,2026-03-03 23:26:58,112.49,Retail,Crédito,77.5,0,1,0
TX_002531,2026-03-01 19:43:31,158.04,Servicios,Crédito,87.8,0,1,0
TX_017747,2026-03-29 06:12:56,17.21,Viajes,Crédito,84.1,1,1,0
TX_008271,2026-03-30 21:55:03,142.06,Retail,Débito,78.7,0,1,0
TX_015080,2026-01-04 17:43:33,11.64,Servicios,Crédito,83.2,0,1,0
TX_013625,2026-03-19 00:59:24,66.78,Retail,Crédito,83.8,0,1,0
TX_030639,2026-02-09 10:07:31,201.6,Entretenimiento,Crédito,88.4,0,1,0
TX_030441,2026-03-03 14:05:39,122.58,Retail,Débito,88.0,0,1,0
TX_036057,2026-01-29 07:09:50,52.53,Servicios,Crédito,87.9,0,1,0
TX_042652,2026-03-12 01:08:50,19.75,Retail,Débito,92.0,0,1,0
TX_036804,2026-02-19 15:47:55,124.65,Retail,Crédito,91.2,0,1,0
TX_048225,2026-03-07 06:19:56,56.7,Retail,Crédito,70.2,2,1,0
TX_029227,2026-03-15 04:08:25,155.87,Retail,Débito,88.6,0,1,0
TX_005634,2026-01-09 00:58:37,70.67,Servicios,Débito,88.5,0,1,0
TX_005988,2026-01-18 17:12:21,59.67,Entretenimiento,Débito,90.9,0,1,0
TX_048064,2026-02-22 20:39:17,167.44,Electrónica,Crédito,94.9,0,1,0
TX_001813,2026-02-12 17:12:42,16.14,Retail,Débito,76.8,0,1,0
TX_027579,2026-03-08 18:31:54,70.55,Retail,Débito,80.8,1,1,0
TX_016824,2026-01-24 15:56:12,122.05,Retail,Débito,94.4,0,1,0
TX_003929,2026-01-18 14:16:29,227.69,Entretenimiento,Crédito,81.5,0,1,0
TX_037287,2026-03-06 17:03:27,38.51,Viajes,Crédito,87.3,0,1,0
TX_025046,2026-03-07 09:50:14,28.4,Retail,Débito,86.3,0,1,0
TX_015728,2026-02-07 21:34:31,148.84,Servicios,Crédito,81.7,0,1,0
TX_029601,2026-01-14 01:01:32,40.35,Retail,Débito,81.8,0,1,0
TX_010431,2026-03-23 00:13:05,24.91,Entretenimiento,Crédito,77.7,0,1,0
TX_025769,2026-01-23 01:23:01,41.75,Entretenimiento,Débito,82.5,0,1,0
TX_029104,2026-01-11 00:53:03,42.25,Servicios,Crédito,78.6,0,1,0
TX_036538,2026-03-27 10:50:26,47.45,Retail,Crédito,94.2,0,1,0
TX_039329,2026-01-28 18:15:06,45.73,Retail,Débito,87.1,0,0,0
TX_035540,2026-01-28 11:19:01,109.46,Retail,Débito,75.1,0,1,0
TX_028076,2026-03-10 06:04:03,13.2,Entretenimiento,Débito,91.0,0,1,0
TX_017841,2026-02-17 20:42:21,5.81,Retail,Crédito,76.8,3,1,0
TX_027803,2026-03-27 12:45:53,10.88,Servicios,Débito,94.2,0,1,0
TX_007683,2026-03-05 16:18:59,174.81,Retail,Crédito,97.1,0,1,0
TX_024280,2026-03-19 08:55:28,78.12,Viajes,Crédito,76.1,0,1,0
TX_033071,2026-02-11 21:45:51,195.68,Retail,Débito,82.7,0,1,0
TX_035558,2026-01-27 07:11:11,182.9,Servicios,Crédito,98.8,0,1,0
TX_037190,2026-03-23 21:03:28,100.56,Retail,Crédito,86.6,0,1,0
TX_047150,2026-01-10 09:34:24,69.67,Servicios,Crédito,59.7,2,1,0
TX_046916,2026-02-21 08:22:55,16.81,Retail,Crédito,88.2,0,1,0
TX_009802,2026-02-16 11:25:55,72.3,Electrónica,Débito,87.6,0,1,0
TX_038801,2026-02-14 11:30:08,60.89,Retail,Débito,78.6,0,1,0
TX_024670,2026-03-05 15:58:55,95.01,Retail,Crédito,,2,1,0
TX_044234,2026-02-08 19:01:12,197.55,Entretenimiento,Crédito,78.5,0,1,0
TX_031920,2026-03-05 09:11:35,46.51,Retail,Crédito,97.3,0,1,0
TX_007135,2026-01-16 22:21:55,30.9,Entretenimiento,Crédito,100.0,0,1,0
TX_033705,2026-01-31 13:35:07,19.26,Retail,Crédito,79.6,0,1,0
TX_029661,2026-01-24 11:01:56,94.94,Electrónica,Crédito,86.3,0,1,0
TX_017894,2026-02-13 13:30:00,71.66,Servicios,Crédito,81.9,0,1,0
TX_022019,2026-02-02 16:00:46,26.34,Retail,Crédito,100.0,2,1,0
TX_013539,2026-02-20 03:19:30,92.38,Electrónica,Crédito,80.6,0,1,0
TX_043119,2026-03-19 14:52:54,84.51,Servicios,Crédito,93.4,0,1,0
TX_036421,2026-03-10 12:53:43,51.67,Servicios,Crédito,80.4,0,1,0
TX_009406,2026-03-01 02:46:01,73.01,Viajes,Crédito,92.0,0,1,0
TX_013414,2026-02-28 04:36:01,17.45,Servicios,Débito,86.9,0,0,0
TX_006721,2026-03-21 21:34:51,156.49,Entretenimiento,Débito,83.0,0,1,0
TX_015602,2026-03-16 23:05:08,25.91,Servicios,Crédito,73.1,0,1,0
TX_044744,2026-02-26 23:02:44,33.22,Entretenimiento,Débito,87.4,0,1,0
TX_031139,2026-03-31 22:58:01,38.31,Servicios,Crédito,78.6,0,1,0
TX_002730,2026-01-10 05:46:56,229.65,Entretenimiento,Débito,84.4,0,0,0
TX_038243,2026-03-18 15:00:01,6.5,Electrónica,Crédito,88.1,0,1,0
